Common Name,Botanical Name,Irrigation Requirements
ACACIA,Acacia spp.,"None, once established"
ALEPPO PINE,Pinus halepensis,Minimal
ALEXANDRA PALM,Archontophoenix alexandrae,Minimal
ALMOND,Prunus amygdalus,Moderate
AMERICAN PERSIMMON,Diospyros virginiana,Moderate
AMERICAN SWEETGUM,Liquidambar styraciflua,Moderate
AMERICAN SYCAMORE,Platanus occidentalis,Moderate
APRICOT,Prunus armeniaca,Moderate
ARIZONA ASH,Fraxinus velu na,Minimal
ASH ARIZONA,Fraxinus velu na 'Dr Pironne',Minimal
ASH GUM,Eucalyptus cinerea,Minimal
ATLAS CEDAR,Cedrus atlan ca,Minimal
AUSTRALIAN TEA TREE,Leptospermum laevigatum,Minimal
AUSTRALIAN WILLOW,Geijera parviflora,Minimal
AVOCADO,Persea americana,Moderate
BAILEY ACACIA,Acacia baileyana,"None, once established"
BANANA,Musa spp.,High
BIDWILLS CORAL TREE,Erythrina bidwillii,Moderate
BIRCH,Betula spp.,Moderate
BLACK ACACIA,Acacia melanoxylon,"None, once established"
BLUE GUM,Eucalyptus globulus,Minimal
BOTTLE TREE,Brachychiton populneus,Minimal
BRAZILIAN PEPPER,Schinus terebinthifolius,Minimal
BRISBANE BOX,Lophostemon confertus,Minimal
BRONZE LOQUAT,Eriobotrya deflexa,Moderate
BRUSH CHERRY,Syzygium paniculatum,Moderate
BUNYA-BUNYA,Araucaria bidwillii,Moderate
CAJEPUT TREE,Melaleuca quinquenervia,Minimal
CALABRIAN PINE,Pinus bru a,Minimal
CALIFORNIA BAY,Umbellularia californica,"None, once established"
CALIFORNIA BLACK WALNUT,Juglans hindsii,"None, once established"
CALIFORNIA FAN PALM,Washingtonia filifera,"None, once established"
CALIFORNIA PEPPER,Schinus molle,Minimal
CALIFORNIA SYCAMORE,Platanus racemosa,Moderate
CAMPHOR TREE,Cinnamomum camphora,Minimal
CANARY ISLAND DATE PALM,Phoenix canariensis,Minimal
CANARY ISLAND PINE,Pinus canariensis,Minimal
CAPE CHESTNUT,Calodendrum capense,Moderate
CAPE PITTOSPORUM,Pi osporum viridiflorum,Moderate
CARIBBEAN COPPER TREE,Euphorbia co nifolia,Minimal
CAROB,Ceratonia siliqua,Minimal
CAROLINA LAUREL CHERRY,Prunus caroliniana,Moderate
CARROTWOOD,Cupaniopsis anacardioides,Minimal
CATALINA CHERRY,Prunus lyonii,Moderate
CEDAR,Cedrus spp.,Minimal
CEDAR WEEPING,Cedrus atlan ca 'Pendula',Minimal
CHERRY MT FUJI,Prunus 'Mt Fuji',Moderate
CHESTNUT,Castanea spp.,Minimal
CHINA DOLL,Radermachera sinica,Moderate
CHINESE ELM,Ulmus parvifolia,Moderate
CHINESE FLAME TREE,Koelreuteria bipinnata,Moderate
CHINESE FRINGE TREE,Chionanthus retusus,Moderate
CHINESE JUNIPER,Juniperus chinensis,Minimal
