botanical_name,Irrigation_Requirements
Acacia baileyana,"none, once established"
Acacia cognata,
Acacia longifolia,
Acacia melanoxylon,"none, once established"
Acacia stenophylla,
Acca sellowiana,
Acer palmatum,moderate
Acer paxii,
Acer rubrum,
Acer saccharinum,
Acer spp.,
Acmena smithii,
Afrocarpus gracilior,
Afrocarpus macrophyllus,
Agathis robusta,
Agonis flexuosa,minimal
Ailanthus altissima,
Albizia julibrissin,minimal
Allocasuarina verticillata,
Alnus cordata,moderate
Alnus rhombifolia,moderate
Angophora costata,
Araucaria bidwillii,
Araucaria columnaris,moderate
Araucaria heterophylla,moderate
Arbutus 'Marina',
Arbutus unedo,minimal
Archontophoenix cunninghamiana,
Auranticarpa rhombifolium,
Bauhinia blakeana,minimal
Bauhinia variegata,minimal
Betula pendula,moderate
Brachychiton acerifolius,
Brachychiton populneus,minimal
Brahea armata,minimal
Brahea brandegeei,
Brahea edulis,minimal
Butia capitata,moderate
Calocedrus decurrens,"none, once established"
Calodendrum capense,moderate
Casimiroa edulis,moderate
Cassia leptophylla,minimal
Castanea mollissima,minimal
Casuarina cunninghamiana,minimal
Catalpa hybrida,
Cedrus atlantica,minimal
Cedrus atlantica 'Glauca',minimal
Cedrus deodara,minimal
Cedrus libani,minimal
Ceiba speciosa,
Ceratonia siliqua,minimal
Cercidium floridum,
Cercis canadensis,minimal
Cercis canadensis 'Forest Pansy',minimal
Cercis canadensis 'Oklahoma',minimal
Cercis canadensis texensis,minimal
Cercis canadensis var. mexicana,minimal
Cercis occidentalis,minimal
Cercis spp.,minimal
Chamaerops humilis,moderate
Chilopsis linearis,
Chionanthus retusus,moderate
Chitalpa tashkentensis,
Cinnamomum camphora,minimal
Citrus limon,moderate
Citrus sinensis,moderate
Cocculus laurifolius,
Cordyline australis,moderate
Corymbia citriodora,
Corymbia ficifolia,
Corymbia maculata,
Cotinus coggygria,
Cryptomeria japonica,moderate
Cupaniopsis anacardioides,
Cupressocyparis x leylandii,moderate
Cupressus glabra,minimal
Cupressus sempervirens,minimal
Cyathea cooperi,
Diospyros virginiana,moderate
Dodonaea viscosa,minimal
Dracaena draco,moderate
Duranta repens,moderate
Dypsis decaryi,
Eriobotrya deflexa,moderate
Eriobotrya japonica,
Erythrina bidwillii,moderate
Erythrina caffra,moderate
Erythrina coralloides,moderate
Eucalyptus amplifolia,minimal
Eucalyptus camaldulensis,minimal
Eucalyptus cinerea,minimal
Eucalyptus cladocalyx,minimal
Eucalyptus cornuta,minimal
Eucalyptus deglupta,minimal
Eucalyptus globulus,minimal
Eucalyptus grandis,minimal
Eucalyptus lehmannii,minimal
Eucalyptus leucoxylon 'Rosea',minimal
Eucalyptus nicholii,minimal
Eucalyptus polyanthemos,minimal
Eucalyptus pulverulenta,minimal
Eucalyptus robusta,minimal
Eucalyptus rudis,minimal
Eucalyptus sideroxylon,minimal
Eucalyptus torquata,minimal
Eucalyptus viminalis,minimal
Eugenia aggregata,
Ficus benjamina,moderate
Ficus carica,moderate
Ficus elastica,moderate
Ficus lyrata,moderate
Ficus macrophylla,moderate
Ficus microcarpa,moderate
Ficus microcarpa 'Green Gem',moderate
Ficus microcarpa 'Nitida',moderate
Ficus rubiginosa,moderate
Ficus spp.,moderate
Fraxinus angustifolia oxycarpa,
Fraxinus uhdei,minimal
Fraxinus velutina,minimal
Geijera parviflora,minimal
Ginkgo biloba,minimal
Ginkgo biloba 'Autumn Gold',minimal
Gleditsia triacanthos,
Grevillea robusta,minimal
Hakea suaveolens,
Handroanthus chrysotrichus,
Harpephyllum caffrum,minimal
Hesperocyparis forbesii,
Hesperocyparis macrocarpa,
Heteromeles arbutifolia,
Howea belmoreana,
Howea forsteriana,
Hymenosporum flavum,
