botanical_name,IUCN_status,IUCN_DOI_or_URL
Pinus torreyana,"Critically Endangered B2ab(ii,iii,v)",http://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T42424A2979186.en
Sequoia sempervirens,Endangered A2acd,http://www.iucnredlist.org/details/34051/0
Cedrus atlantica 'Glauca',Endangered A2cd,http://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T42303A2970716.en
Cedrus atlantica,Endangered A2cd ,http://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T42303A2970716.en
Quercus engelmannii,Endangered A3c ,http://www.iucnredlist.org/details/34020/0
Ginkgo biloba,Endangered B1+2c,http://dx.doi.org/10.2305/IUCN.UK.1998.RLTS.T32353A9700472.en
Quercus tomentella,"Endangered B2ab(i,ii,iv,v)",http://www.iucnredlist.org/details/30959/0
Hesperocyparis forbesii,"Endangered B2ab(ii,iii,iv,v)",http://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T34081A2844134.en
Pinus radiata,"Endangered B2ab(ii,iii,v) ",http://www.iucnredlist.org/details/42408/0
Brahea edulis,Endangered C1,http://dx.doi.org/10.2305/IUCN.UK.1998.RLTS.T38455A10120521.en
Dracaena draco,Vulnerable A1abcde,http://dx.doi.org/10.2305/IUCN.UK.1998.RLTS.T30394A9535771.en
Juglans hindsii,Vulnerable A1c,http://dx.doi.org/10.2305/IUCN.UK.1998.RLTS.T35154A9915361.en
Jubaea chilensis,Vulnerable A1cd,http://dx.doi.org/10.2305/IUCN.UK.1998.RLTS.T38586A10128158.en
Jacaranda mimosifolia,Vulnerable B1+2ac,http://dx.doi.org/10.2305/IUCN.UK.1998.RLTS.T32027A9675619.en
Ravenea rivularis,"Vulnerable B2ab(i,ii,iii,iv,v)",http://dx.doi.org/10.2305/IUCN.UK.2017-2.RLTS.T38677A67737451.en
Cedrus libani,"Vulnerable B2ab(ii,iii,v)",http://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T46191675A46192926.en
Prunus lusitanica,"Vulnerable B2ab(ii,v) (Regional assessment) ",
Dypsis decaryi,Vulnerable D1,http://dx.doi.org/10.2305/IUCN.UK.2012.RLTS.T38531A2873409.en
