botanical_name,native,EOL_ID,EOL_overview_URL
Acacia baileyana,exotic,649008,http://eol.org/pages/649008/overview
Acacia cognata,exotic,660740,http://eol.org/pages/660740/overview
Acacia longifolia,exotic,690308,http://eol.org/pages/690308/overview
Acacia melanoxylon,exotic,8684941,http://eol.org/pages/8684941/overview
Acacia stenophylla,exotic,643396,http://eol.org/pages/643396/overview
Acca sellowiana,exotic,2508674,http://eol.org/pages/2508674/overview
Acer palmatum,exotic,596824,http://eol.org/pages/596824/overview
Acer paxii,exotic,2888996,http://eol.org/pages/2888996/overview
Acer rubrum,exotic,582246,http://eol.org/pages/582246/overview
Acer saccharinum,exotic,583072,http://eol.org/pages/583072/overview
Acer spp.,exotic,37290,http://eol.org/pages/37290/overview
Acmena smithii,exotic,5453366,http://eol.org/pages/5453366/overview
Afrocarpus gracilior,exotic,1033605,http://eol.org/pages/1033605/overview
Afrocarpus macrophyllus,exotic,1059922,http://eol.org/pages/1059922/overview
Agathis robusta,exotic,1033628,http://eol.org/pages/1033628/overview
Agonis flexuosa,exotic,5448625,http://eol.org/pages/5448625/overview
Ailanthus altissima,exotic,5614169,http://eol.org/pages/5614169/overview
Albizia julibrissin,exotic,640054,http://eol.org/pages/640054/overview
Allocasuarina verticillata,exotic,628407,http://eol.org/pages/628407/overview
Alnus cordata,exotic,1145955,http://eol.org/pages/1145955/overview
Alnus rhombifolia,native,1145613,http://eol.org/pages/1145613/overview
Angophora costata,exotic,630874,http://eol.org/pages/630874/overview
Araucaria bidwillii,exotic,323342,http://eol.org/pages/323342/overview
Araucaria columnaris,exotic,988571,http://eol.org/pages/988571/overview
Araucaria heterophylla,exotic,1033727,http://eol.org/pages/1033727/overview
Arbutus 'Marina',exotic,71122,http://eol.org/pages/71122/overview
Arbutus unedo,exotic,583608,http://eol.org/pages/583608/overview
Archontophoenix cunninghamiana,exotic,1136266,http://eol.org/pages/1136266/overview
Auranticarpa rhombifolium,exotic,5556305,http://eol.org/pages/5556305/overview
Bauhinia blakeana,exotic,641500,http://eol.org/pages/641500/overview
Bauhinia variegata,exotic,702916,http://eol.org/pages/702916/overview
Betula pendula,exotic,1149364,http://eol.org/pages/1149364/overview
Brachychiton acerifolius,exotic,5420372,http://eol.org/pages/5420372/overview
Brachychiton populneus,exotic,487630,http://eol.org/pages/487630/overview
Brahea armata,exotic,1121077,http://eol.org/pages/1121077/overview
Brahea brandegeei,exotic,1121061,http://eol.org/pages/1121061/overview
Brahea edulis,exotic,1121015,http://eol.org/pages/1121015/overview
Butia capitata,exotic,1003987,http://eol.org/pages/1003987/overview
Calocedrus decurrens,native,1061623,http://eol.org/pages/1061623/overview
Calodendrum capense,exotic,5623469,http://eol.org/pages/5623469/overview
Casimiroa edulis,exotic,483587,http://eol.org/pages/483587/overview
Cassia leptophylla,exotic,640224,http://eol.org/pages/640224/overview
Castanea mollissima,exotic,1148512,http://eol.org/pages/1148512/overview
Casuarina cunninghamiana,exotic,629957,http://eol.org/pages/629957/overview
Catalpa hybrida,exotic,70927,http://eol.org/pages/70927/overview
Cedrus atlantica,exotic,1033602,http://eol.org/pages/1033602/overview
Cedrus atlantica 'Glauca',exotic,1033602,http://eol.org/pages/1033602/overview
Cedrus deodara,exotic,1033603,http://eol.org/pages/1033603/overview
Cedrus libani,exotic,1061705,http://eol.org/pages/1061705/overview
Ceiba speciosa,exotic,5405972,http://eol.org/pages/5405972/overview
Ceratonia siliqua,exotic,418096,http://eol.org/pages/418096/overview
Cercidium floridum,native,2867690,http://eol.org/pages/2867690/overview
Cercis canadensis,exotic,640323,http://eol.org/pages/640323/overview
Cercis canadensis 'Forest Pansy',exotic,640323,http://eol.org/pages/640323/overview
Cercis canadensis 'Oklahoma',exotic,640323,http://eol.org/pages/640323/overview
Cercis canadensis texensis,exotic,1271471,http://eol.org/pages/1271471/overview
Cercis canadensis var. mexicana,exotic,1271470,http://eol.org/pages/1271470/overview
Cercis occidentalis,native,640324,http://eol.org/pages/640324/overview
Cercis spp.,exotic,28998,http://eol.org/pages/28998/overview
Chamaerops humilis,exotic,1091059,http://eol.org/pages/1091059/overview
Chilopsis linearis,native,580331,http://eol.org/pages/580331/overview
Chionanthus retusus,exotic,2892340,http://eol.org/pages/2892340/overview
Chitalpa tashkentensis,exotic,5641725,http://eol.org/pages/5641725/overview
Cinnamomum camphora,exotic,596902,http://eol.org/pages/596902/overview
Citrus limon,exotic,582200,http://eol.org/pages/582200/overview
Citrus sinensis,exotic,582206,http://eol.org/pages/582206/overview
Cocculus laurifolius,exotic,2886371,http://eol.org/pages/2886371/overview
Cordyline australis,exotic,1087084,http://eol.org/pages/1087084/overview
Corymbia citriodora,exotic,301375,http://eol.org/pages/301375/overview
Corymbia ficifolia,exotic,301438,http://eol.org/pages/301438/overview
Corymbia maculata,exotic,301463,http://eol.org/pages/301463/overview
Cotinus coggygria,exotic,582267,http://eol.org/pages/582267/overview
Cryptomeria japonica,exotic,126871,http://eol.org/pages/126871/overview
Cupaniopsis anacardioides,exotic,481245,http://eol.org/pages/481245/overview
Cupressocyparis x leylandii,exotic,2496922,http://eol.org/pages/2496922/overview
Cupressus glabra,exotic,1282063,http://eol.org/pages/1282063/overview
Cupressus sempervirens,exotic,1034869,http://eol.org/pages/1034869/overview
Cyathea cooperi,exotic,483203,http://eol.org/pages/483203/overview
Diospyros virginiana,exotic,595775,http://eol.org/pages/595775/overview
Dodonaea viscosa,exotic,582326,http://eol.org/pages/582326/overview
Dracaena draco,exotic,1087629,http://eol.org/pages/1087629/overview
Duranta repens,exotic,487855,http://eol.org/pages/487855/overview
Dypsis decaryi,exotic,1095068,http://eol.org/pages/1095068/overview
Eriobotrya deflexa,exotic,229674,http://eol.org/pages/229674/overview
Eriobotrya japonica,exotic,628975,http://eol.org/pages/628975/overview
Erythrina bidwillii,exotic,644108,http://eol.org/pages/644108/overview
Erythrina caffra,exotic,644148,http://eol.org/pages/644148/overview
Erythrina coralloides,exotic,643189,http://eol.org/pages/643189/overview
Eucalyptus amplifolia,exotic,630154,http://eol.org/pages/630154/overview
Eucalyptus camaldulensis,exotic,301398,http://eol.org/pages/301398/overview
Eucalyptus cinerea,exotic,630170,http://eol.org/pages/630170/overview
Eucalyptus cladocalyx,exotic,637218,http://eol.org/pages/637218/overview
